Year;LTE;Teatment;Temperature (?C);TONgkg;Cgkg;MolarCN;F14C;err ;d14C
1988;M4-1957;211;Soil;1.059006951;9.86;10.86237755;0.9334;0.0025;-75.1
1988;M6-1957;211;Soil;1.818929961;23.26;14.91902781;0.9307;0.002;-77.7
1991;M2-1957;211;Soil;1.669127061;18.19;12.71423079;1.0116;0.0021;2.5
1991;M4-1957;211;Soil;0.929329502;8.43;10.58289872;0.9651;0.0021;-43.6
1991;M6-1957;211;Soil;1.329211823;17.7;15.53552237;0.9485;0.002;-60.1
1999;M2-1957;211;Soil;1.338950382;14.08;12.26831621;1.0012;0.0021;-7.8
1999;M4-1957;211;Soil;0.929141221;8.96;11.25053231;0.893;0.0024;-115.1
1999;M6-1957;211;Soil;1.69923882;21.53;14.78210893;0.9233;0.0019;-85
2003;M2-1957;211;Soil;1.699423631;17.41;11.95209146;0.9507;0.0022;-57.9
2003;M4-1957;211;Soil;0.879333968;8.23;10.91924914;0.9228;0.0024;-85.5
2003;M6-1957;211;Soil;1.619415205;21.31;15.35224975;0.9411;0.0018;-67.4
2007;M2-1957;211;Soil;1.496771037;15.96;12.44011244;0.9948;0.0021;-14.1
2007;M4-1957;211;Soil;1.0081409;9.4;10.87810907;0.899;0.0023;-109.1
2007;M6-1957;211;Soil;1.529120235;19.6;14.95413255;0.9322;0.002;-76.2
2011;M2-1957;211;Soil;1.5276;16.09;12.28833901;0.9819;0.0021;-26.9
2011;M6-1957;211;Soil;1.468550725;19.35;15.37229843;0.9197;0.0018;-88.6
2015;M2-1957;211;Soil;1.577666034;16.79;12.41602019;0.9802;0.002;-28.6
2015;M6-1957;211;Soil;1.531786055;19.84;15.1109005;0.9188;0.002;-89.5
2019;M2-1957;211;Soil;1.598257502;16.5;12.04436705;;;
2010;M4-1957;211;Soil;0.954985251;8.41;10.27415519;;;
2019;M6-1957;211;Soil;1.638533724;20.38;14.51094128;0.8828;0.0019;-125.2
1971;R94-1966;211;Soil;1.955755183;21.91;13.06997261;0.9244;0.0018;-84
